# MIRRORED ARTIFACT (R lane) -- hsquared copy of a planning-only design authored in the Julia twin
# HSquared.jl, committed there at 09b333d0 (2026-07-20). The launcher this contract describes lives
# in THIS repo. Keep the two copies in sync; reconcile divergence before implementation. Citations
# to 5325e95 are to this repo's own history. Authorizes no implementation, edit, seed draw, or run.
# 50-recovery-v3-arity-contract.tsv
# Producer/consumer row-cardinality contract sweep across every mode of
# tools/run-v07-genomic-recovery-v3.sh in the R repo (hsquared), sealed at commit 5325e95.
# Purpose: name arity as DATA (an expression over the manifest/plan/disk state) instead of
# independent literals on the producer side and the consumer side -- the root cause of the
# D1 recovery-v3 RC=21 death (smoke-n-ladder emits |unique(manifest$n)|=4 attempt rows;
# recommend_workers() requires >=16 before it will compute a worker recommendation).
# Date: 2026-07-20.
# This file is a DECLARATION for future implementation review only. It authorizes no
# campaign, no code change, and no re-run of D1; D1 remains paused per ROADMAP.md.
# Read via `git show 5325e95:<path>` only; the hsquared working tree was not checked out,
# not modified, and no seed space or protected state was touched while building this file.
# SCOPE FENCE (this file is often read in isolation -- the fence travels with it):
#   This satisfies exactly ONE of the six successor preconditions in
#   docs/dev-log/handover/2026-07-20-d1-reseal4-postdraw-retirement.md -- "launcher contract
#   investigation". The other FIVE remain OPEN: a new root; a disjoint allocation; a new
#   pre-registration; fresh mutation controls/reviews/preseal; and explicit authorization.
#   attempts_per_rung = 4 (where referenced downstream) is an OWNER DECISION of 2026-07-20,
#   NOT intent recovered from the retired controller or the failed campaign.
# CLAIM CEILING (unchanged by this file): public_covered_count=5; ordinary_auto_genomic held;
#   V2-GRM/V2-GINV partial; D1 paused and unadjudicated. No route, count, or capability moves.
mode	arg1_semantics	producer_fn	emitted_rows_expr	consumer_fn	consumer_min_rows	other_guards	guard_firing_order	status	sealed_citation
smoke-n-ladder	WORKERS (optional, default 1; xargs -P parallelism -- NOT an attempt/row count; positive integer <=96 via require_workers)	manifest_n_ladder	|unique(manifest$n)| (one row per first-seen distinct n; 4 for the D0F/D1 cell design with n in {120,300,600,1200})	recommend_workers (R heredoc; invoked from a LATER mode -- run-official, recompute-base-r, replay-julia, or standalone recommend-workers -- never from smoke-n-ladder itself)	16 (literal: `if (length(paths) < 16L) stop("fewer than 16 completed smoke attempts")`)	require_workers; require_preseal_worker_cap; validate_d0f_predecessor_once; run_official_pairs materializes the piped rows into $out/attempts/$stage/<group>/<seed>.tsv; verify-phase runs after with require_complete=FALSE (does not itself gate row count)	1:require_workers 2:require_preseal_worker_cap 3:validate_d0f_predecessor_once 4:manifest_n_ladder-emit 5:run_official_pairs-materialize 6:verify-phase [cross-mode boundary] 7:recommend_workers-count-gate(>=16)	MISMATCH	run-v07-genomic-recovery-v3.sh:613-621,362-378,533-581
smoke-16	WORKERS (optional, default 16; xargs -P parallelism -- coincidentally equal to the row-slice constant below, a second literal-16 collision hazard; NOT the row count)	manifest_missing_pairs	n_missing = count(manifest_pairs() rows where BOTH $out/attempts/$stage/<group>/<seed>.tsv AND its .tsv.sha256 sidecar are absent) -- PARTIAL-WRITE BLIND SPOT: a row with the .tsv present but its sidecar missing is silently NOT counted as missing (:380-387), unlike manifest_missing_recompute_pairs (:389-395) which routes via resumable_pair_state (:83-105) and DIES on exactly that partial condition	require_smoke_missing_count	predicate `(( count >= 16 ))` (at-least-16) but die message reads "smoke-16 requires exactly 16 previously missing rows" (implies ==16); bash then slices ${smoke_rows[@]:0:16} = min(16, n_missing) rows forward to run_official_pairs uncontested	require_workers; require_preseal_worker_cap; validate_d0f_predecessor_once; guard-selftest (lines 169-170) exercises the >=16 boundary with a fabricated count=15 negative control but never checks the die message text -- the message drift is caught only by the R testthat suite (tests/testthat/test-v07-genomic-recovery-v3-launcher.R:320-324, pinned at 5325e95), not by the bash self-test	1:require_workers 2:require_preseal_worker_cap 3:validate_d0f_predecessor_once 4:manifest_missing_pairs-collect 5:require_smoke_missing_count(predicate>=16, message="exactly 16") 6:array-slice-:0:16 7:run_official_pairs 8:verify-phase	MESSAGE-MISMATCH	run-v07-genomic-recovery-v3.sh:78-81,380-387,622-635,169-170
run-official	WORKERS (required; xargs -P parallelism; gated <= recommend_workers() output -- see the separate gate row below)	manifest_pairs	nrow(manifest) (every group/seed row, unconditionally -- no filtering for rows already attempted)	run_official_pairs	0 (xargs -r is a no-op on empty input; no lower bound is asserted on the piped row count)	require_workers; require_preseal_worker_cap; recommend_workers precondition (separate row); validate_d0f_predecessor_once; verify-phase after	1:require_workers 2:require_preseal_worker_cap 3:recommend_workers-precondition 4:validate_d0f_predecessor_once 5:manifest_pairs-emit 6:run_official_pairs 7:verify-phase	SPECIFIED	run-v07-genomic-recovery-v3.sh:644-654,345-360,397-407
run-official	same WORKERS arg reused as the ceiling checked against recommend_workers() output, not as a row count	(none in this mode)	count(pre-existing files under $out/attempts/$stage/**/*.tsv, written by an earlier, unnamed invocation) -- not produced or bounded by anything in this mode's own body	recommend_workers	16 (literal, same predicate as row 1)	require_workers; require_preseal_worker_cap; the die at `(( workers <= recommended ))` fires only after recommend_workers has already succeeded internally	1:require_workers 2:require_preseal_worker_cap 3:recommend_workers(>=16 attempts, then workers<=recommended) 4:validate_d0f_predecessor_once 5:manifest_pairs|run_official_pairs 6:verify-phase	UNSPECIFIED	run-v07-genomic-recovery-v3.sh:644-654,533-581
recompute-base-r	WORKERS (required; xargs -P parallelism; gated <= recommend_workers() output)	(none in this mode)	count(pre-existing files under $out/attempts/$stage/**/*.tsv) -- same external-state read as row 4	recommend_workers	16	require_workers; require_preseal_worker_cap; validate_d0f_predecessor_once	1:require_workers 2:require_preseal_worker_cap 3:recommend_workers(>=16 attempts, then workers<=recommended) 4:validate_d0f_predecessor_once 5:manifest_missing_recompute_pairs(base_r_recompute) 6:missing>0-check 7:prepare_base_r_batch_plan 8:run_base_r_batches	UNSPECIFIED	run-v07-genomic-recovery-v3.sh:659-670,533-581
recompute-base-r	same WORKERS arg, now used as: (a) xargs -P for run_base_r_batches, and (b) the divisor in batch_size=ceil(missing/workers) when the plan is first written	manifest_missing_recompute_pairs(base_r_recompute) [feeds prepare_base_r_batch_plan]	missing = count(manifest rows lacking a base_r_recompute/$stage/<group>/<seed>.tsv[.sha256] pair); batch_size = ceil(missing / workers)	run_base_r_batches	unique(plan$batch_id) -- re-derived by awk directly from the plan file's own batch_id column, not asserted against workers or missing by an independent literal	prepare_base_r_batch_plan requires missing>0 before writing a plan, and refuses to touch a partial/nonregular pre-existing plan pair (die "external base-R batch plan is partial or nonregular")	1:missing>0-check 2:plan-write-or-authenticate(prepare_base_r_batch_plan) 3:awk-unique-batch_id 4:run_base_r_batches	SPECIFIED	run-v07-genomic-recovery-v3.sh:389-395,441-462,464-481
replay-julia	WORKERS (required; xargs -P parallelism; gated <= recommend_workers() output)	(none in this mode)	count(pre-existing files under $out/attempts/$stage/**/*.tsv) -- same external-state read as rows 4-5	recommend_workers	16	require_workers; require_preseal_worker_cap; validate_d0f_predecessor_once	1:require_workers 2:require_preseal_worker_cap 3:recommend_workers(>=16 attempts, then workers<=recommended) 4:validate_d0f_predecessor_once 5:manifest_missing_recompute_pairs(julia_replay) 6:missing>0-check 7:prepare_julia_batch_dir 8:run_julia_batches	UNSPECIFIED	run-v07-genomic-recovery-v3.sh:676-687,533-581
replay-julia	same WORKERS arg, now used as: (a) xargs -P for run_julia_batches, and (b) --batch-count passed to the external Julia write-batch-manifests mode	manifest_missing_recompute_pairs(julia_replay) [feeds prepare_julia_batch_dir, which invokes Julia's write-batch-manifests mode once, only if the batch dir does not already exist]	missing = count(manifest rows lacking a julia_replay/$stage/<group>/<seed>.tsv[.sha256] pair); Julia is asked to write --batch-count=workers manifest files (bash does not itself assert how many files Julia must write)	validate_julia_batch_inventory (called immediately after directory creation; run_julia_batches independently recounts the same glob before dispatch)	count(files matching $stage-batch-*-of-*.tsv) in [1,96], and entries==2*count (primary+sidecar) -- re-derived by `find` directly from disk, not asserted equal to the workers/batch-count argument	external batch dir must not be a symlink; must contain no symlinked members; run_julia_batches re-counts the same glob independently before dispatch	1:missing>0-check 2:dir-create-or-reuse 3:julia-write-batch-manifests(external, batch-count=workers) 4:validate_julia_batch_inventory(count in [1,96], entries==2*count) 5:run_julia_batches-recount 6:xargs-P-workers-n1-dispatch	SPECIFIED	run-v07-genomic-recovery-v3.sh:389-395,501-514,483-499,516-531
recommend-workers	(none; mode takes 0 positional args)	(none -- reads whatever is already on disk under $out/attempts/$stage from any earlier invocation of smoke-n-ladder, smoke-16, or run-official)	count(pre-existing files under $out/attempts/$stage/**/*.tsv)	recommend_workers	16	none in this mode beyond recommend_workers's own internal checks (schema completeness, n-coverage vs manifest, finite positive RSS, valid preseal cap, readable /proc/meminfo)	1:recommend_workers(count>=16; schema; n-coverage; RSS finite/positive; preseal-cap valid; /proc/meminfo readable)	UNSPECIFIED	run-v07-genomic-recovery-v3.sh:640-643,533-581
(none -- dead code, unreferenced by any case-statement arm)	WORKERS per function signature; never bound by any call site since the function is never invoked	(would be manifest_pairs or manifest_missing_recompute_pairs, by analogy -- moot; nothing pipes into it in the sealed script)	n/a (dead code path)	run_base_r_pairs	n/a	recompute-base-r (the mode that plausibly should call this) instead uses the batch-plan regime (prepare_base_r_batch_plan + run_base_r_batches; rows 5-6 above)	n/a	DEAD	run-v07-genomic-recovery-v3.sh:409-416 (definition); cross-ref 659-670 (the recompute-base-r mode body that never calls it)
